Datetime,Adj Close,Close,High,Low,Open,Volume
,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG
2026-06-04 09:30:00-04:00,359.2250061035156,359.2250061035156,359.3299865722656,354.8500061035156,355.4800109863281,1306242
2026-06-04 09:32:00-04:00,361.172607421875,361.172607421875,361.20001220703125,359.0899963378906,359.2300109863281,399258
2026-06-04 09:34:00-04:00,360.4549865722656,360.4549865722656,361.5799865722656,360.3399963378906,361.1693115234375,326594
2026-06-04 09:36:00-04:00,360.55499267578125,360.55499267578125,360.8800048828125,359.6000061035156,360.40008544921875,351059
2026-06-04 09:38:00-04:00,359.75,359.75,360.989990234375,359.67999267578125,360.5101013183594,263549
2026-06-04 09:40:00-04:00,359.909912109375,359.909912109375,360.2900085449219,358.20001220703125,359.7799072265625,268172
2026-06-04 09:42:00-04:00,359.2900085449219,359.2900085449219,360.2099914550781,359.0400085449219,359.9100036621094,205174
2026-06-04 09:44:00-04:00,360.24371337890625,360.24371337890625,360.4999084472656,359.3349914550781,359.3599853515625,218036
2026-06-04 09:46:00-04:00,360.5050048828125,360.5050048828125,360.8900146484375,359.94000244140625,360.2699890136719,235643
2026-06-04 09:48:00-04:00,361.3550109863281,361.3550109863281,361.3599853515625,360.04998779296875,360.4700012207031,174743
2026-06-04 09:50:00-04:00,361.2149963378906,361.2149963378906,361.760009765625,360.92999267578125,361.3550109863281,298462
2026-06-04 09:52:00-04:00,361.69000244140625,361.69000244140625,361.7699890136719,360.989990234375,361.2149963378906,155234
2026-06-04 09:54:00-04:00,362.92999267578125,362.92999267578125,362.9700012207031,361.4599914550781,361.6650085449219,178585
2026-06-04 09:56:00-04:00,363.19500732421875,363.19500732421875,363.2900085449219,362.739990234375,362.8599853515625,183715
2026-06-04 09:58:00-04:00,362.8500061035156,362.8500061035156,363.95001220703125,362.8399963378906,363.19500732421875,272045
2026-06-04 10:00:00-04:00,362.0299987792969,362.0299987792969,363.6400146484375,362.0,362.8500061035156,180525
2026-06-04 10:02:00-04:00,362.1169128417969,362.1169128417969,362.3699951171875,361.2514953613281,362.03009033203125,155418
2026-06-04 10:04:00-04:00,361.6614990234375,361.6614990234375,362.3800048828125,361.1199951171875,362.1199951171875,153905
2026-06-04 10:06:00-04:00,362.1099853515625,362.1099853515625,362.1199951171875,361.32000732421875,361.67999267578125,181401
2026-06-04 10:08:00-04:00,362.42999267578125,362.42999267578125,363.04998779296875,362.0150146484375,362.1099853515625,216320
2026-06-04 10:10:00-04:00,363.3550109863281,363.3550109863281,363.510009765625,362.0,362.489990234375,169234
2026-06-04 10:12:00-04:00,363.3349914550781,363.3349914550781,363.5299987792969,363.0199890136719,363.3299865722656,229789
2026-06-04 10:14:00-04:00,364.0150146484375,364.0150146484375,364.2200012207031,363.07000732421875,363.3299865722656,215767
2026-06-04 10:16:00-04:00,364.5899963378906,364.5899963378906,364.6300048828125,363.79998779296875,363.9700012207031,178795
2026-06-04 10:18:00-04:00,364.2749938964844,364.2749938964844,364.8699951171875,363.8900146484375,364.6000061035156,184387
2026-06-04 10:20:00-04:00,363.8940124511719,363.8940124511719,364.260009765625,363.25,364.2149963378906,120247
2026-06-04 10:22:00-04:00,364.739990234375,364.739990234375,364.8800048828125,363.95001220703125,363.9649963378906,140983
2026-06-04 10:24:00-04:00,364.92498779296875,364.92498779296875,365.2300109863281,364.510009765625,364.7799987792969,225373
2026-06-04 10:26:00-04:00,365.4049987792969,365.4049987792969,365.5,364.5199890136719,364.9700012207031,186387
2026-06-04 10:28:00-04:00,365.0299987792969,365.0299987792969,365.4100036621094,364.9599914550781,365.3699951171875,155026
2026-06-04 10:30:00-04:00,364.94500732421875,364.94500732421875,365.2699890136719,364.3399963378906,365.010009765625,211482
2026-06-04 10:32:00-04:00,364.9898986816406,364.9898986816406,365.0799865722656,364.6600036621094,364.9800109863281,142509
2026-06-04 10:34:00-04:00,364.5400085449219,364.5400085449219,365.29998779296875,364.4800109863281,364.947509765625,129236
2026-06-04 10:36:00-04:00,364.43499755859375,364.43499755859375,364.6299133300781,364.0400085449219,364.5400085449219,117506
2026-06-04 10:38:00-04:00,364.8399963378906,364.8399963378906,364.94000244140625,364.2900085449219,364.4224853515625,146537
2026-06-04 10:40:00-04:00,365.2099914550781,365.2099914550781,365.3399963378906,364.78460693359375,364.8800048828125,86470
2026-06-04 10:42:00-04:00,365.260009765625,365.260009765625,365.6000061035156,364.9599914550781,365.2598876953125,124263
